layercount 134
colorcount 1322
0.8784313725490196 0.5333333333333333 0.12156862745098039
0.396078431372549 0.8784313725490196 0.12156862745098039
0.12156862745098039 0.6705882352941176 0.8784313725490196
0.12156862745098039 0.25882352941176473 0.8784313725490196
0.12156862745098039 0.8784313725490196 0.6705882352941176
0.807843137254902 0.12156862745098039 0.8784313725490196
0.396078431372549 0.12156862745098039 0.8784313725490196
0.8784313725490196 0.12156862745098039 0.5333333333333333
0.12156862745098039 0.8784313725490196 0.25882352941176473
0.8784313725490196 0.12156862745098039 0.12156862745098039
0.807843137254902 0.8784313725490196 0.12156862745098039
0.25098039215686274 0.01568627450980392 0.6627450980392157
0.6039215686274509 0.6627450980392157 0.01568627450980392
0.01568627450980392 0.13333333333333333 0.6627450980392157
0.01568627450980392 0.6627450980392157 0.13333333333333333
0.6627450980392157 0.01568627450980392 0.01568627450980392
0.6039215686274509 0.01568627450980392 0.6627450980392157
0.6627450980392157 0.3686274509803922 0.01568627450980392
0.25098039215686274 0.6627450980392157 0.01568627450980392
0.6627450980392157 0.01568627450980392 0.3686274509803922
0.01568627450980392 0.48627450980392156 0.6627450980392157
0.01568627450980392 0.6627450980392157 0.48627450980392156
0.788235294117647 0.7372549019607844 0.29411764705882354
0.788235294117647 0.29411764705882354 0.44313725490196076
0.788235294117647 0.592156862745098 0.29411764705882354
0.788235294117647 0.29411764705882354 0.29411764705882354
0.788235294117647 0.29411764705882354 0.7372549019607844
0.5411764705882353 0.29411764705882354 0.788235294117647
0.29411764705882354 0.788235294117647 0.49411764705882355
0.6901960784313725 0.788235294117647 0.29411764705882354
0.5411764705882353 0.788235294117647 0.29411764705882354
0.29411764705882354 0.6392156862745098 0.788235294117647
0.788235294117647 0.29411764705882354 0.592156862745098
0.39215686274509803 0.29411764705882354 0.788235294117647
0.29411764705882354 0.34509803921568627 0.788235294117647
0.29411764705882354 0.788235294117647 0.6392156862745098
0.29411764705882354 0.49411764705882355 0.788235294117647
0.29411764705882354 0.788235294117647 0.34509803921568627
0.39215686274509803 0.788235294117647 0.29411764705882354
0.6901960784313725 0.29411764705882354 0.788235294117647
0.788235294117647 0.44313725490196076 0.29411764705882354
0.29411764705882354 0.788235294117647 0.788235294117647
0.8117647058823529 0.3176470588235294 0.3176470588235294
0.5647058823529412 0.3176470588235294 0.8117647058823529
0.8117647058823529 0.5647058823529412 0.3176470588235294
0.3176470588235294 0.8117647058823529 0.3176470588235294
0.3176470588235294 0.5647058823529412 0.8117647058823529
0.3176470588235294 0.8117647058823529 0.5647058823529412
0.8117647058823529 0.3176470588235294 0.5647058823529412
0.3176470588235294 0.3176470588235294 0.8117647058823529
0.8117647058823529 0.3176470588235294 0.8117647058823529
0.5647058823529412 0.8117647058823529 0.3176470588235294
0.3176470588235294 0.8117647058823529 0.8117647058823529
0.8117647058823529 0.8117647058823529 0.3176470588235294
0.1843137254901961 0.8 0.1843137254901961
0.596078431372549 0.1843137254901961 0.8
0.8 0.1843137254901961 0.1843137254901961
0.8 0.1843137254901961 0.596078431372549
0.1843137254901961 0.8 0.596078431372549
0.596078431372549 0.8 0.1843137254901961
0.8 0.596078431372549 0.1843137254901961
0.1843137254901961 0.1843137254901961 0.8
0.1843137254901961 0.596078431372549 0.8
0.2784313725490196 0.0196078431372549 0.9254901960784314
0.9254901960784314 0.0196078431372549 0.796078431372549
0.0196078431372549 0.5372549019607843 0.9254901960784314
0.9254901960784314 0.0196078431372549 0.0196078431372549
0.0196078431372549 0.9254901960784314 0.5372549019607843
0.9254901960784314 0.796078431372549 0.0196078431372549
0.2784313725490196 0.9254901960784314 0.0196078431372549
0.6784313725490196 0.0784313725490196 0.9764705882352941
0.0784313725490196 0.9764705882352941 0.6784313725490196
0.0784313725490196 0.9764705882352941 0.0784313725490196
0.9764705882352941 0.0784313725490196 0.0784313725490196
0.6784313725490196 0.9764705882352941 0.0784313725490196
0.0784313725490196 0.6784313725490196 0.9764705882352941
0.9764705882352941 0.0784313725490196 0.6784313725490196
0.9764705882352941 0.6784313725490196 0.0784313725490196
0.0784313725490196 0.0784313725490196 0.9764705882352941
0.611764705882353 0.4745098039215686 0.06274509803921569
0.06274509803921569 0.611764705882353 0.2
0.611764705882353 0.06274509803921569 0.06274509803921569
0.33725490196078434 0.611764705882353 0.06274509803921569
0.06274509803921569 0.611764705882353 0.611764705882353
0.33725490196078434 0.06274509803921569 0.611764705882353
0.611764705882353 0.06274509803921569 0.4745098039215686
0.06274509803921569 0.2 0.611764705882353
0.10980392156862745 0.5333333333333333 0.792156862745098
0.10980392156862745 0.792156862745098 0.5333333333333333
0.7058823529411765 0.792156862745098 0.10980392156862745
0.19215686274509805 0.792156862745098 0.10980392156862745
0.10980392156862745 0.2784313725490196 0.792156862745098
0.45098039215686275 0.792156862745098 0.10980392156862745
0.10980392156862745 0.792156862745098 0.792156862745098
0.45098039215686275 0.10980392156862745 0.792156862745098
0.792156862745098 0.6196078431372549 0.10980392156862745
0.19215686274509805 0.10980392156862745 0.792156862745098
0.792156862745098 0.10980392156862745 0.6196078431372549
0.7058823529411765 0.10980392156862745 0.792156862745098
0.792156862745098 0.10980392156862745 0.10980392156862745
